politybelligerent,modernctrylocation,newid,distance,conflict,conflictname,city,province,parliamentoflocation,cstart,cend,cduration,major,navalbattle,battletype,sideabelligerent1,sideabelligerent2,sideabelligerent3,sideabelligerent4,sidebbelligerent1,sidebbelligerent2,sidebbelligerent3,sidebbelligerent4,Belligerent.Allies,polityvictor,battledraw,victorname,belligerentvictor,parlpresence,resources,notes,ac
Venice,greece,2002,2n,1,spetsai,spetses,attica,,1263,1263,1,0,1,battle,Venice,,,,Genoa,Byzantine Empire,,,0,,0,Venice,1,0,"Bradbury p. 177, ""The Byzantine Empire and Eastern Europe 400-1453""",,
Genoa,greece,2002,2n,1,spetsai,spetses,attica,,1263,1263,1,0,1,battle,Venice,,,,Genoa,Byzantine Empire,,,1,,0,Venice,0,0,"Bradbury p. 177, ""The Byzantine Empire and Eastern Europe 400-1453""",,
Byzantine Empire,greece,2002,2n,1,spetsai,spetses,attica,,1263,1263,1,0,1,battle,Venice,,,,Genoa,Byzantine Empire,,,1,,0,Venice,0,0,"Bradbury p. 177, ""The Byzantine Empire and Eastern Europe 400-1453""",,
England,England,207,207,1,lewes,lewes,eastsussex,England,1264,1264,1,1,0,battle,England,,,,Simon de Montford,,,,0,0,0,Simon de Montford,0,3,"Bradbury p. 215, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of rebels under Simon de Montfort against Henry III."" ",
Venice,italy,2003,3n,1,trapani,trapani,sicily ,sicily,1264,1264,1,0,1,battle,Venice,,,,Genoa,,,,0,,0,Venice,1,0,"Bradbury pg. 236, ""Renaissance Italy 1250-1525""",,
Simon de Montford,England,207,207,1,lewes,lewes,eastsussex,England,1264,1264,1,1,0,battle,England,,,,Simon de Montford,,,,0,0,0,Simon de Montford,1,3,"Bradbury p. 215, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of rebels under Simon de Montfort against Henry III."" ",
Genoa,italy,2003,3n,1,trapani,trapani,sicily ,sicily,1264,1264,1,0,1,battle,Venice,,,,Genoa,,,,0,,0,Venice,0,0,"Bradbury pg. 236, ""Renaissance Italy 1250-1525""",,
England,England,208,208,1,evesham,evesham,worcestershire,England,1265,1265,1,1,0,battle,England,,,,Simon de Montford,,,,0,1,0,England,1,3,"Bradbury p. 213, ""Angevins to the Tudors, Britain 1154-1485""","""Defeat of Simon de Montfort by Prince Edward I in the Barons' War."" ",
Simon de Montford,England,208,208,1,evesham,evesham,worcestershire,England,1265,1265,1,1,0,battle,England,,,,Simon de Montford,,,,0,1,0,England,0,3,"Bradbury p. 213, ""Angevins to the Tudors, Britain 1154-1485""","""Defeat of Simon de Montfort by Prince Edward I in the Barons' War."" ",
France,Italy,209,209,1,benevento ,benevento,campania,southern italy and naples,1266,1266,1,1,0,battle,France,,,,Sicily,Austria,,,0,,0,France,1,2,"Bradbury p. 232, ""Renaissance Italy 1250-1525""",,
Sicily,Italy,209,209,1,benevento ,benevento,campania,southern italy and naples,1266,1266,1,1,0,battle,France,,,,Sicily,Austria,,,1,,0,France,0,2,"Bradbury p. 232, ""Renaissance Italy 1250-1525""",,
Austria,Italy,209,209,1,benevento ,benevento,campania,southern italy and naples,1266,1266,1,1,0,battle,France,,,,Sicily,Austria,,,1,,0,France,0,2,"Bradbury p. 232, ""Renaissance Italy 1250-1525""",,
France,Italy,210,210,1,tagliacozzo,tagliacozzo,abruzzo,southern italy and naples,1268,1268,1,1,0,battle,France,,,,Sicily,Austria,,,0,,0,France,1,2,"Bradbury p. 236, ""Renaissance Italy 1250-1525""",,
Sicily,Italy,210,210,1,tagliacozzo,tagliacozzo,abruzzo,southern italy and naples,1268,1268,1,1,0,battle,France,,,,Sicily,Austria,,,1,,0,France,0,2,"Bradbury p. 236, ""Renaissance Italy 1250-1525""",,
Austria,Italy,210,210,1,tagliacozzo,tagliacozzo,abruzzo,southern italy and naples,1268,1268,1,1,0,battle,France,,,,Sicily,Austria,,,1,,0,France,0,2,"Bradbury p. 236, ""Renaissance Italy 1250-1525""",,
Florence,italy,201,,1,colle di valdelsa,colle di valdelsa,toscana,,1269,1269,1,0,0,battle,Florence,,,,Siena,,,,0,,0,Florence,1,0,"Bowsky, p. 35",,
Siena,italy,201,,1,colle di valdelsa,colle di valdelsa,toscana,,1269,1269,1,0,0,battle,Florence,,,,Siena,,,,0,,0,Florence,0,0,"Bowsky, p. 35",,
Bohemia,Austria,214,214,1,marchfeld,dürnkrut,Austria,Austria,1278,1278,1,0,0,battle,Bohemia,,,,Austria,Hungary,,,0,1,0,"Austria, Hungary",0,2,"Bradbury p. 163, ""The Holy Roman Empire and Central Europe, 850-1500""",,
Austria,Austria,214,214,1,marchfeld,dürnkrut,Austria,Austria,1278,1278,1,0,0,battle,Bohemia,,,,Austria,Hungary,,,1,1,0,"Austria, Hungary",1,2,"Bradbury p. 163, ""The Holy Roman Empire and Central Europe, 850-1500""",,
Hungary,Austria,214,214,1,marchfeld,dürnkrut,Austria,Austria,1278,1278,1,0,0,battle,Bohemia,,,,Austria,Hungary,,,1,1,0,"Austria, Hungary",1,2,"Bradbury p. 163, ""The Holy Roman Empire and Central Europe, 850-1500""",,
France,Italy,217,217,1,sicilian vespers,palermo,sicilia,sicily,1282,1282,1,0,0,battle,France,,,,Aragon,,,,0,,0,Aragon,0,2,"Bradbury p. 236, ""Renaissance Italy 1250-1525""",,
Aragon,Italy,217,217,1,sicilian vespers,palermo,sicilia,sicily,1282,1282,1,0,0,battle,France,,,,Aragon,,,,0,,0,Aragon,1,2,"Bradbury p. 236, ""Renaissance Italy 1250-1525""",,
Aragon,italy,2005,5n,1,messina,messina,sicily ,sicily,1283,1283,1,0,1,battle,Aragon,,,,France,,,,0,,0,Aragon,1,2,"Bradbury p. 235, ""Renaissance Italy 1250-1525""",,
France,italy,2005,5n,1,messina,messina,sicily ,sicily,1283,1283,1,0,1,battle,Aragon,,,,France,,,,0,,0,Aragon,0,2,"Bradbury p. 235, ""Renaissance Italy 1250-1525""",,
Aragon,southern italy and naples,2006,6n,1,naples,campania,italy,,1284,1284,1,0,1,battle,Aragon,,,,France,,,,0,,0,Aragon,1,2,"Bradbury p. 235, ""Renaissance Italy 1250-1525""",,
France,southern italy and naples,2006,6n,1,naples,campania,italy,,1284,1284,1,0,1,battle,Aragon,,,,France,,,,0,,0,Aragon,0,2,"Bradbury p. 235, ""Renaissance Italy 1250-1525""",,
Siena,italy,218,,1,pieve al toppo,pive al toppo,toscana,,1288,1288,1,0,0,battle,Siena,,,,Arezzo,,,,0,,0,Arezzo,0,,"Bowsky, p. 166"," ""Following an unsuccessful siege of Arezzo, a large Sienese force was ambushed and badly mauled at Pieve al Toppo (26 June 1288)""",
Arezzo,italy,218,,1,pieve al toppo,pive al toppo,toscana,,1288,1288,1,0,0,battle,Siena,,,,Arezzo,,,,0,,0,Arezzo,1,,"Bowsky, p. 166"," ""Following an unsuccessful siege of Arezzo, a large Sienese force was ambushed and badly mauled at Pieve al Toppo (26 June 1288)""",
Venice,turkey,2007,7n,1,alexandretta,iskenderun,hatay,,1294,1294,1,0,1,battle,Venice,,,,Genoa,,,,0,,0,Genoa,0,0,"Bradbury p. 232, ""Renaissance Italy, 1250-1525""",,
Genoa,turkey,2007,7n,1,alexandretta,iskenderun,hatay,,1294,1294,1,0,1,battle,Venice,,,,Genoa,,,,0,,0,Genoa,1,0,"Bradbury p. 232, ""Renaissance Italy, 1250-1525""",,
Scotland,scotland,219,219,1,dunbar,dunbar,scotland,scotland,1296,1296,1,0,0,battle,Scotland,,,,England,,,,0,,0,England,0,2,"Bradbury p. 213, ""Angevins to Tudors, Britain 1154-1485""",,
England,scotland,219,219,1,dunbar,dunbar,scotland,scotland,1296,1296,1,0,0,battle,Scotland,,,,England,,,,0,,0,England,1,2,"Bradbury p. 213, ""Angevins to Tudors, Britain 1154-1485""",,
Scotland,scotland,220,220,1,stirling,stirling,scotland,scotland,1297,1297,1,0,0,battle,Scotland,,,,England,,,,0,,0,Scotland,1,2,"Bradbury p. 218, ""Angevins to Tudors, Britain 1154-1485""",,
England,scotland,220,220,1,stirling,stirling,scotland,scotland,1297,1297,1,0,0,battle,Scotland,,,,England,,,,0,,0,Scotland,0,2,"Bradbury p. 218, ""Angevins to Tudors, Britain 1154-1485""",,
Scotland,scotland,221,221,1,falkirk,falkirk,scotland,scotland,1298,1298,1,0,0,battle,Scotland,,,,England,,,,0,,0,England,0,2,"Bradbury p. 213-214, ""Angevins to Tudors, Britain 1154-1485""",,
Venice,croatia,2008,8n,1,curzola,korcula,croatia,,1298,1298,1,0,1,battle,Venice,,,,Genoa,,,,0,,0,Genoa,0,0,"Bradbury p. 233, ""Renaissance Italy 1250-1525""",,
England,scotland,221,221,1,falkirk,falkirk,scotland,scotland,1298,1298,1,0,0,battle,Scotland,,,,England,,,,0,,0,England,1,2,"Bradbury p. 213-214, ""Angevins to Tudors, Britain 1154-1485""",,
Genoa,croatia,2008,8n,1,curzola,korcula,croatia,,1298,1298,1,0,1,battle,Venice,,,,Genoa,,,,0,,0,Genoa,1,0,"Bradbury p. 233, ""Renaissance Italy 1250-1525""",,
France,Belgium,223,223,1,courtrai,courtrai,westflanders,belgium,1302,1302,1,1,0,battle,France,,,,Belgium,,,,0,,0,Belgium,0,2,"Bradbury p. 200, ""Capetians and Valois, France 987-1500""",,
Belgium,Belgium,223,223,1,courtrai,courtrai,westflanders,belgium,1302,1302,1,1,0,battle,France,,,,Belgium,,,,0,,0,Belgium,1,2,"Bradbury p. 200, ""Capetians and Valois, France 987-1500""",,
France,France,224,224,1,mons-en-pevele,mons-en-pevele,nord,France,1304,1304,1,1,0,battle,France,,,,Belgium,,,,0,1,0,France,1,2,"Bradbury p. 203; ""The Capetians and the Valois, France 987-1500""; p. 362 (timeline)",,
Belgium,France,224,224,1,mons-en-pevele,mons-en-pevele,nord,France,1304,1304,1,1,0,battle,France,,,,Belgium,,,,0,1,0,France,0,2,"Bradbury p. 203; ""The Capetians and the Valois, France 987-1500""; p. 362 (timeline)",,
England,scotland,225,225,1,methven,methven,scotland,scotland,1306,1306,1,0,0,battle,England,,,,Scotland,,,,0,,0,England,1,2,"Bradbury p. 215-216, ""Angevins to Tudors, Britain 1154-1485""",,
Scotland,scotland,225,225,1,methven,methven,scotland,scotland,1306,1306,1,0,0,battle,England,,,,Scotland,,,,0,,0,England,0,2,"Bradbury p. 215-216, ""Angevins to Tudors, Britain 1154-1485""",,
England,scotland,226,226,1,loudoun hill,darvel,scotland,scotland,1307,1307,1,0,0,battle,England,,,,Scotland,,,,0,,0,Scotland,0,2,"Bradbury p. 215, ""Angevins to Tudors, Britain 1154-1485""",,
Scotland,scotland,226,226,1,loudoun hill,darvel,scotland,scotland,1307,1307,1,0,0,battle,England,,,,Scotland,,,,0,,0,Scotland,1,2,"Bradbury p. 215, ""Angevins to Tudors, Britain 1154-1485""",,
England,scotland,227,227,1,bannockburn,bannockburn,scotland,scotland,1314,1314,1,0,0,battle,England,,,,Scotland,,,,0,,0,Scotland,0,2,"Bradbury p. 211, ""Angevins to Tudors, Britain 1154-1485""",,
Scotland,scotland,227,227,1,bannockburn,bannockburn,scotland,scotland,1314,1314,1,0,0,battle,England,,,,Scotland,,,,0,,0,Scotland,1,2,"Bradbury p. 211, ""Angevins to Tudors, Britain 1154-1485""",,
Switzerland,switzerland,228,228,1,morgarten,lake aegeri,switzerland,switzerland,1315,1315,1,1,0,battle,Switzerland,,,,Austria,,,,0,,0,Switzerland,1,2,"Bradbury p. 164, ""The Holy Roman Empire and Central Europe 850-1500""",,
Pisa,italy,229,,1,montecatini,valdinievole,toscana,,1315,1315,1,0,0,battle,Pisa,,,,Florence,Naples,Siena,,0,,0,Pisa,1,,"Bowky, p. 167","p. 167: ""At the battle of Montecatini on 29 August 1315, Uguccione della Faggiuola…defeated a Tuscan Guelf army… the Sienese commune contributed some 400 cavalry and 3,000 infantry to an ill-fated Guelf army…. ",
Austria,switzerland,228,228,1,morgarten,lake aegeri,switzerland,switzerland,1315,1315,1,1,0,battle,Switzerland,,,,Austria,,,,0,,0,Switzerland,0,2,"Bradbury p. 164, ""The Holy Roman Empire and Central Europe 850-1500""",,
Florence,italy,229,,1,montecatini,valdinievole,toscana,,1315,1315,1,0,0,battle,Pisa,,,,Florence,Naples,Siena,,2,,0,Pisa,0,,"Bowky, p. 167","p. 167: ""At the battle of Montecatini on 29 August 1315, Uguccione della Faggiuola…defeated a Tuscan Guelf army… the Sienese commune contributed some 400 cavalry and 3,000 infantry to an ill-fated Guelf army…. ",
Naples,italy,229,,1,montecatini,valdinievole,toscana,,1315,1315,1,0,0,battle,Pisa,,,,Florence,Naples,Siena,,2,,0,Pisa,0,,"Bowky, p. 167","p. 167: ""At the battle of Montecatini on 29 August 1315, Uguccione della Faggiuola…defeated a Tuscan Guelf army… the Sienese commune contributed some 400 cavalry and 3,000 infantry to an ill-fated Guelf army…. ",
Siena,italy,229,,1,montecatini,valdinievole,toscana,,1315,1315,1,0,0,battle,Pisa,,,,Florence,Naples,Siena,,2,,0,Pisa,0,,"Bowky, p. 167","p. 167: ""At the battle of Montecatini on 29 August 1315, Uguccione della Faggiuola…defeated a Tuscan Guelf army… the Sienese commune contributed some 400 cavalry and 3,000 infantry to an ill-fated Guelf army…. ",
England,England,230,229,1,faughart,faughart,ireland,England,1318,1318,1,0,0,battle,England,,,,Scotland,,,,0,1,0,England,1,1,"Bradbury p. 214, ""Angevins to the Tudors, Britain 1154-1485""","""Defeat of Edward Bruce, brother of Robert the Bruce [King of Scotland], by an English Force…""",
Scotland,England,230,229,1,faughart,faughart,ireland,England,1318,1318,1,0,0,battle,England,,,,Scotland,,,,0,1,0,England,0,1,"Bradbury p. 214, ""Angevins to the Tudors, Britain 1154-1485""","""Defeat of Edward Bruce, brother of Robert the Bruce [King of Scotland], by an English Force…""",
England,England,231,230,1,myton,myton-on-swale,northyorkshire,England,1319,1319,1,0,0,battle,England,,,,Scotland,,,,0,0,0,Scotland,0,1,"Bradbury p. 216, ""Angevins to the Tudors, Britain 1154-1485""","""Victory at Swaledale in Yorkshire of invading Scots under Sir James Douglas for Roburt the Bruce aagainst an English force…"" ",
Scotland,England,231,230,1,myton,myton-on-swale,northyorkshire,England,1319,1319,1,0,0,battle,England,,,,Scotland,,,,0,0,0,Scotland,1,1,"Bradbury p. 216, ""Angevins to the Tudors, Britain 1154-1485""","""Victory at Swaledale in Yorkshire of invading Scots under Sir James Douglas for Roburt the Bruce aagainst an English force…"" ",
England,England,232,231,1,boroughbridge,boroughbridge,northyorkshire,England,1322,1322,1,1,0,battle,England,,,,Thomas of lancaster,,,,0,1,0,England,1,3,"Bradbury p. 212, ""Angevins to the Tudors, Britain 1154-1485""","""Victory in Yorkshire for Sir Andrew Harclay sheriff of Cumberland against the rebel Thomas of Lancaster.""",
Bavaria,germany,233,232,1,muehldorf,mühldorf am inn,bavaria,,1322,1322,1,0,0,battle,Bavaria,,,,Austria,,,,0,,0,Bavaria,1,2,"Bradbury p. 164, ""The Holy Roman Empire and Central Europe 850-1500""",,
Thomas of lancaster,England,232,231,1,boroughbridge,boroughbridge,northyorkshire,England,1322,1322,1,1,0,battle,England,,,,Thomas of lancaster,,,,0,1,0,England,0,3,"Bradbury p. 212, ""Angevins to the Tudors, Britain 1154-1485""","""Victory in Yorkshire for Sir Andrew Harclay sheriff of Cumberland against the rebel Thomas of Lancaster.""",
Austria,germany,233,232,1,muehldorf,mühldorf am inn,bavaria,,1322,1322,1,0,0,battle,Bavaria,,,,Austria,,,,0,,0,Bavaria,0,2,"Bradbury p. 164, ""The Holy Roman Empire and Central Europe 850-1500""",,
Florence,italy,234,,1,altopascio,altopascio,toscana,,1325,1325,1,0,0,battle,Florence,,,,Lucca,,,,0,,1,,0,,"Bowsky, p.167","p. 167: ""On September 1325 at Altopascio, in the course of his wars with the Guelf League, Castruccio Castracani inflicted a staggering defeat on his enemies. Siena had committed some 500 cavalry..."" ",
Lucca,italy,234,,1,altopascio,altopascio,toscana,,1325,1325,1,0,0,battle,Florence,,,,Lucca,,,,0,,1,,0,,"Bowsky, p.167","p. 167: ""On September 1325 at Altopascio, in the course of his wars with the Guelf League, Castruccio Castracani inflicted a staggering defeat on his enemies. Siena had committed some 500 cavalry..."" ",
France,France,235,233,1,cassel,cassel,nord,France,1328,1328,1,1,0,battle,France,,,,Flemish Rebels,,,,0,1,0,France,1,3,"Bradbury p. 199; ""The Capetians and the Valois, France 987-1500""; p. 362 (timeline)",,
Flemish Rebels,France,235,233,1,cassel,cassel,nord,France,1328,1328,1,1,0,battle,France,,,,Flemish Rebels,,,,0,1,0,France,0,3,"Bradbury p. 199; ""The Capetians and the Valois, France 987-1500""; p. 362 (timeline)",,
England,scotland,238,236,1,dupplin moor,scone,scotland,scotland,1332,1332,1,0,0,battle,England,,,,Scotland,,,,0,,0,England,1,2,"Bradbury p. 213, ""Angevins to Tudors, Britain 1154-1485""",,
Scotland,scotland,238,236,1,dupplin moor,scone,scotland,scotland,1332,1332,1,0,0,battle,England,,,,Scotland,,,,0,,0,England,0,2,"Bradbury p. 213, ""Angevins to Tudors, Britain 1154-1485""",,
England,England,239,237,1,halidon hill,berwick-upon-tweed,northumberland,England,1333,1333,1,1,0,battle,England,,,,Scotland,,,,0,1,0,England,1,1,"Bradbury p. 214, ""Angevins to the Tudors, Britain 1154-1485""","""Victory of Edward III over the Scots under Archibald Douglas.""",
